Chain,RecordTime,Frequency
Chain1,83,0.0
Chain2,150,0.0
Chain4,157,0.0
Chain1,165,12.2562
Chain3,199,0.0
Chain2,259,9.18463
Chain4,266,9.17849
Chain1,269,10.7954
Chain2,344,10.3153
Chain1,362,10.7681
Chain4,395,8.38926
Chain3,398,5.03088
Chain1,447,10.619
Chain2,464,9.56848
Chain1,495,13.2344
Chain4,543,7.7624
Chain2,573,9.54357
Chain3,580,5.2511
Chain1,588,13.2572
Chain4,654,7.73456
Chain2,661,9.47421
Chain1,679,12.9739
Chain3,722,5.73374
Chain2,761,10.0785
Chain4,768,8.04743
Chain1,771,10.8875
Chain1,826,12.6354
Chain2,891,9.45827
Chain4,897,8.47659
Chain3,900,5.97528
Chain1,908,13.0741
Chain2,978,9.4583
Chain4,996,8.76914
Chain1,999,13.1728
Chain3,1063,6.21547
Chain2,1071,9.69275
Chain1,1078,11.9058
Chain4,1125,8.40364
Chain2,1150,11.5554
Chain1,1168,11.5409
Chain3,1191,6.40086
Chain1,1234,12.7348
Chain4,1268,8.0827
Chain2,1271,10.2268
Chain1,1285,14.4717
Chain2,1371,10.0067
Chain4,1377,7.86243
Chain3,1380,6.24991
Chain1,1388,13.6283
Chain2,1458,9.74749
Chain4,1476,8.55116
Chain1,1479,12.2699
Chain3,1522,6.52693
Chain2,1551,10.7232
Chain1,1558,10.9959
Chain4,1585,9.49273
Chain1,1684,10.1418
Chain2,1770,7.51926
Chain4,1776,7.51931
Chain1,1779,9.98499
Chain3,1818,4.78903
Chain2,1857,7.52395
Chain1,1875,9.46957
Chain4,1918,6.78644
Chain2,1944,7.63601
Chain3,1951,5.25849
Chain1,1959,10.9243
Chain1,2005,13.2762
Chain2,2045,10.9167
Chain4,2062,6.27848
Chain1,2100,13.2958
Chain2,2141,10.5386
Chain4,2148,8.0707
Chain3,2151,4.77433
Chain1,2188,13.077
Chain2,2244,9.98094
Chain4,2274,8.43537
Chain3,2276,6.53962
Chain1,2284,10.7413
Chain2,2311,11.2556
Chain1,2329,13.1203
Chain4,2375,9.59504
Chain3,2396,6.73852
Chain1,2404,13.9021
Chain2,2455,9.55404
Chain4,2491,8.73999
Chain1,2494,14.3048
Chain2,2540,10.1453
Chain3,2575,7.06677
Chain1,2583,11.7888
Chain2,2604,10.246
