Chain,RecordTime,Frequency
Chain1,83,0.0
Chain2,140,0.0
Chain4,157,0.0
Chain1,163,12.5269
Chain3,199,0.0
Chain2,246,9.44508
Chain1,255,11.6571
Chain4,281,8.03364
Chain2,340,10.0014
Chain1,349,11.2924
Chain3,385,5.38192
Chain4,403,8.12146
Chain1,408,12.2371
Chain2,463,9.27826
Chain1,483,13.1419
Chain3,519,6.24837
Chain2,566,9.37256
Chain1,575,13.2757
Chain4,601,6.74839
Chain2,643,9.89907
Chain1,652,12.3085
Chain3,688,6.13703
Chain4,706,7.06259
Chain2,748,10.5493
Chain1,757,10.9662
Chain4,783,7.89347
Chain1,803,13.1476
Chain2,858,10.2662
Chain3,884,6.00472
Chain1,895,12.3554
Chain2,950,9.77615
Chain4,967,8.21115
Chain1,972,13.9398
Chain3,1008,6.13846
Chain2,1055,9.77335
Chain1,1064,11.5147
Chain4,1090,7.81214
Chain4,1103,9.37606
Chain2,1145,10.4685
Chain1,1154,11.5855
Chain3,1190,5.97891
Chain1,1203,12.9759
Chain2,1258,9.73056
Chain4,1275,9.7308
Chain1,1283,13.6698
Chain3,1319,6.90356
Chain2,1366,9.64138
Chain1,1375,13.5711
Chain4,1401,9.64071
Chain2,1443,10.0613
Chain1,1452,12.0586
Chain3,1488,6.25109
Chain4,1506,7.44692
Chain2,1547,10.3667
Chain1,1557,10.9706
Chain4,1583,9.74087
Chain1,1603,13.1406
Chain2,1658,10.2599
Chain3,1743,5.42287
Chain1,1753,9.95642
Chain1,1772,13.9372
Chain2,1827,7.81317
Chain2,1872,9.23857
Chain1,1881,10.7841
Chain3,1917,5.01523
Chain1,1928,17.2057
Chain2,1983,9.24723
Chain3,2009,5.75644
Chain1,2019,12.1233
Chain2,2074,12.1245
Chain1,2083,14.849
Chain3,2119,7.97048
Chain2,2166,10.213
Chain1,2175,12.123
Chain4,2202,3.74904
Chain2,2243,11.5177
Chain1,2252,12.885
Chain3,2288,8.0908
Chain4,2306,3.74894
Chain2,2348,10.9687
Chain1,2357,10.9702
Chain4,2383,3.7489
Chain4,2396,15.4019
Chain4,2409,29.1039
Chain1,2414,12.5306
Chain2,2469,9.88653
Chain3,2496,6.16231
Chain1,2506,11.8092
Chain2,2561,9.42956
Chain1,2570,14.0545
Chain3,2606,6.16134
Chain2,2653,9.83076
Chain1,2662,12.1202
Chain4,2688,9.83089
Chain4,2701,9.83128
Chain2,2743,10.9675
Chain1,2752,12.2014
Chain3,2788,6.00104
Chain4,2806,7.55984
Chain1,2811,12.4466
Chain2,2866,9.83341
Chain4,2883,15.4041
Chain1,2888,13.2523
Chain2,2943,10.33
Chain3,2970,6.33032
Chain1,2980,13.1577
Chain4,3007,9.83426
Chain2,3048,9.83405
Chain1,3057,12.2055
Chain3,3093,6.16261
Chain4,3111,9.83448
Chain2,3153,10.4737
Chain1,3162,10.9723
Chain4,3188,9.83459
Chain4,3201,15.4036
Chain1,3206,13.2514
Chain2,3261,9.43176
Chain3,3346,5.37428
Chain1,3356,10.0205
Chain1,3375,14.0637
Chain2,3430,7.85209
Chain2,3475,9.29325
Chain1,3485,10.785
Chain3,3520,5.44613
Chain1,3531,17.2012
Chain2,3586,9.24665
Chain3,3612,5.77775
Chain1,3623,12.1218
Chain2,3677,12.1229
Chain1,3687,14.8489
Chain2,3742,11.2736
Chain3,3768,7.11092
Chain1,3778,12.1222
Chain4,3805,4.32491
Chain2,3846,11.5158
Chain1,3855,12.8841
Chain3,3891,8.09095
Chain4,3910,4.15925
Chain2,3951,10.9679
Chain1,3960,10.9676
Chain4,3987,3.81984
Chain4,4000,15.4001
Chain1,4005,13.2482
Chain2,4060,9.42995
Chain3,4086,6.33033
Chain1,4096,12.4443
Chain2,4151,9.83174
Chain4,4168,11.5873
Chain1,4174,14.0562
Chain3,4209,6.79562
Chain2,4256,9.83167
Chain1,4265,11.5175
Chain4,4292,9.83178
Chain4,4305,9.83169
Chain2,4346,10.4697
Chain1,4355,11.5882
Chain3,4391,6.00056
Chain4,4410,12.4456
Chain1,4415,12.4454
Chain2,4470,9.43029
Chain4,4487,15.402
Chain1,4492,13.25
Chain2,4547,10.3273
Chain3,4573,6.16017
Chain1,4583,13.1514
Chain4,4610,9.82918
Chain2,4652,9.82671
Chain1,4661,12.1923
Chain3,4697,6.15833
Chain2,4743,10.9575
Chain1,4752,11.5043
Chain4,4779,8.11979
Chain4,4792,9.82299
Chain4,4805,15.3877
Chain1,4810,13.2368
Chain2,4865,9.42179
Chain3,4950,5.37004
Chain1,4960,10.014
Chain1,4979,13.2498
Chain2,5034,7.84745
Chain2,5079,8.93061
Chain1,5088,10.7812
Chain2,5143,10.7813
Chain1,5153,15.558
Chain3,5189,4.87092
Chain3,5217,5.76878
Chain1,5227,12.0902
Chain2,5282,12.0918
Chain1,5291,14.8026
Chain2,5346,11.2485
Chain3,5372,7.10153
Chain1,5383,13.0649
Chain4,5409,4.75983
Chain2,5451,9.76024
Chain1,5460,12.8863
Chain3,5496,9.78185
Chain2,5542,11.518
Chain1,5552,11.5181
Chain4,5578,3.81659
Chain4,5591,3.81661
Chain4,5604,15.4014
Chain1,5609,13.2484
Chain2,5664,9.43015
Chain3,5690,6.33128
Chain1,5701,12.4469
Chain2,5756,9.8334
Chain1,5765,14.0577
Chain3,5801,7.00158
Chain2,5848,9.83227
Chain1,5857,12.1228
Chain4,5883,9.83249
Chain4,5896,9.83223
Chain4,5909,9.83259
Chain2,5951,10.4726
Chain1,5960,11.5906
Chain3,5995,6.00177
Chain1,6006,12.4478
Chain2,6061,9.83423
Chain4,6078,15.4077
Chain4,6091,15.4082
Chain1,6096,12.5351
Chain2,6151,9.88825
Chain3,6177,6.16264
Chain1,6188,13.1595
Chain2,6243,10.2736
Chain1,6252,12.2072
Chain3,6288,6.1636
Chain4,6306,7.56285
Chain2,6347,10.4737
Chain1,6356,11.5199
Chain4,6383,9.8347
Chain4,6396,9.8346
Chain4,6409,29.0995
Chain1,6414,13.2515
Chain2,6469,9.43297
Chain3,6554,5.37443
Chain1,6564,9.60234
Chain1,6583,13.2547
Chain2,6638,7.59302
Chain1,6647,12.8887
Chain2,6702,8.46231
Chain2,6747,10.7808
Chain1,6756,15.6066
Chain3,6792,4.87876
Chain3,6820,5.63591
Chain1,6830,12.121
Chain2,6885,12.1221
Chain1,6894,12.1225
Chain2,6949,12.124
Chain3,6976,7.11102
Chain1,6986,13.063
Chain2,7041,10.2138
Chain1,7050,13.6466
Chain3,7086,10.2139
Chain4,7104,4.15914
Chain2,7146,11.5178
Chain1,7155,11.5183
Chain4,7181,3.82002
Chain4,7194,3.82001
Chain4,7207,29.0975
Chain1,7212,13.2492
Chain2,7267,9.43073
Chain3,7294,6.33127
Chain1,7304,11.8101
Chain2,7359,9.43205
Chain1,7368,14.059
Chain3,7404,7.003
Chain2,7451,9.83394
Chain1,7460,12.127
Chain4,7486,9.83384
Chain4,7499,9.83468
Chain2,7541,10.9728
Chain1,7550,12.2063
Chain3,7586,6.00269
Chain4,7604,7.56307
Chain1,7609,12.4504
Chain2,7664,9.83607
Chain4,7681,15.4054
Chain1,7686,13.254
Chain2,7741,10.3314
Chain3,7767,6.33196
Chain1,7778,13.1582
Chain4,7804,9.83472
Chain2,7846,9.83504
Chain1,7855,12.2043
Chain3,7891,6.16329
Chain4,7909,9.83373
Chain2,7950,10.4719
Chain1,7960,10.9698
Chain4,7986,9.83303
Chain4,7999,15.4012
Chain1,8004,13.2497
Chain2,8059,9.43024
Chain3,8144,5.37371
Chain1,8154,10.0186
Chain1,8173,14.0641
Chain2,8228,7.8514
Chain2,8273,9.29295
Chain1,8282,10.7851
Chain3,8318,5.44618
Chain1,8329,17.2048
Chain2,8384,9.24719
Chain3,8410,5.77769
Chain1,8420,12.1246
Chain2,8475,12.1251
Chain1,8484,14.8519
Chain3,8520,7.97146
Chain2,8567,10.2152
Chain1,8576,12.1262
Chain4,8603,4.32542
Chain2,8644,11.5191
Chain1,8653,12.8867
Chain3,8689,8.09238
Chain4,8707,4.15981
Chain2,8749,10.9685
Chain1,8758,10.9686
Chain4,8784,3.82019
Chain4,8797,15.3972
Chain4,8810,29.0899
Chain1,8816,12.5278
Chain2,8870,9.8842
Chain3,8897,6.16124
Chain1,8907,11.8053
