Chain,RecordTime,Delay
Chain1,100,20
Chain2,157,57
Chain4,160,40
Chain1,179,19
Chain3,207,47
Chain2,265,65
Chain1,281,41
Chain4,284,44
Chain2,351,51
Chain1,367,47
Chain4,398,38
Chain3,406,86
Chain1,445,45
Chain2,470,70
Chain1,499,19
Chain4,546,66
Chain3,579,99
Chain2,588,88
Chain1,604,44
Chain4,656,56
Chain2,667,67
Chain1,683,43
Chain3,709,69
Chain2,767,67
Chain1,783,63
Chain4,786,66
Chain1,819,19
Chain2,888,88
Chain4,897,57
Chain3,908,108
Chain1,924,44
Chain2,984,84
Chain1,1000,40
Chain4,1014,54
Chain3,1070,110
Chain2,1077,77
Chain1,1093,53
Chain4,1106,26
Chain2,1155,55
Chain1,1172,52
Chain3,1197,77
Chain1,1219,19
Chain4,1271,71
Chain2,1278,78
Chain1,1299,19
Chain3,1376,96
Chain2,1383,83
Chain4,1385,65
Chain1,1404,44
Chain2,1464,64
Chain1,1480,40
Chain4,1494,54
Chain3,1509,69
Chain2,1556,56
Chain1,1573,53
Chain4,1586,26
Chain1,1619,19
Chain2,1769,169
Chain1,1792,112
Chain4,1795,115
Chain3,1825,225
Chain2,1863,163
Chain1,1879,119
Chain4,1913,113
Chain2,1948,148
Chain1,1964,124
Chain3,1972,212
Chain2,2011,111
Chain1,2027,107
Chain4,2041,121
Chain1,2087,87
Chain3,2123,203
Chain4,2130,90
Chain2,2158,158
Chain1,2174,94
Chain2,2250,150
Chain1,2266,106
Chain4,2269,109
Chain3,2277,197
Chain2,2316,116
Chain1,2332,92
Chain4,2346,66
Chain1,2410,90
Chain3,2418,178
Chain2,2425,125
Chain1,2476,76
Chain4,2508,108
Chain2,2517,117
Chain1,2561,81
Chain3,2597,197
Chain2,2608,108
Chain4,2611,91
Chain1,2627,67
Chain3,2704,144
Chain2,2711,111
Chain1,2727,87
Chain4,2730,90
Chain1,2789,69
Chain2,2817,117
Chain4,2827,67
Chain3,2858,138
Chain1,2874,74
Chain2,2913,113
Chain1,2930,50
Chain4,2943,63
Chain3,2999,119
Chain2,3006,106
Chain1,3022,62
Chain4,3078,78
Chain2,3085,85
Chain1,3101,61
Chain3,3178,138
Chain2,3185,85
Chain1,3201,81
Chain4,3204,84
Chain1,3303,103
Chain2,3373,173
Chain4,3382,142
Chain1,3398,118
Chain3,3439,239
Chain2,3466,166
Chain1,3482,122
Chain4,3496,136
Chain2,3561,161
Chain1,3577,137
Chain4,3580,100
Chain3,3592,232
Chain1,3626,106
Chain2,3678,178
Chain1,3701,101
Chain4,3721,121
Chain3,3734,214
Chain2,3761,161
Chain1,3777,97
Chain4,3822,102
Chain2,3856,156
Chain1,3872,112
Chain3,3880,200
Chain2,3919,119
Chain1,3935,95
Chain4,3970,130
Chain1,4024,104
