Chain,RecordTime,Delay
Chain3,4032,192
Chain2,4038,138
Chain4,4041,81
Chain1,4082,82
Chain2,4131,131
Chain1,4174,94
Chain4,4177,97
Chain3,4203,203
Chain2,4214,114
Chain1,4261,101
Chain4,4293,93
Chain2,4310,110
Chain1,4326,86
Chain3,4355,195
Chain1,4403,83
Chain4,4417,97
Chain2,4424,124
Chain1,4470,70
Chain3,4506,186
Chain2,4517,117
Chain4,4520,80
Chain1,4557,77
Chain2,4612,112
Chain1,4628,68
Chain4,4631,71
Chain3,4660,180
Chain2,4689,89
Chain1,4705,65
Chain4,4756,76
Chain3,4785,145
Chain1,4801,81
Chain2,4808,108
Chain1,4917,117
Chain4,4952,152
Chain2,4989,189
Chain1,5012,132
Chain4,5037,117
Chain3,5045,245
Chain2,5073,173
Chain1,5089,129
Chain1,5154,114
Chain4,5177,137
Chain2,5188,188
Chain3,5196,236
Chain1,5241,121
Chain2,5282,182
Chain4,5284,124
Chain1,5307,107
Chain3,5348,228
Chain2,5375,175
Chain1,5391,111
Chain4,5405,125
Chain2,5470,170
Chain1,5486,126
Chain4,5511,111
Chain3,5519,239
Chain2,5547,147
Chain1,5563,123
Chain2,5618,118
Chain1,5634,114
Chain4,5637,117
Chain3,5670,230
Chain1,5686,86
Chain2,5755,155
Chain4,5758,118
Chain1,5781,101
Chain3,5822,222
Chain2,5828,128
Chain1,5844,84
Chain4,5879,119
Chain1,5922,82
Chain2,5939,139
Chain3,5968,208
Chain4,5975,95
Chain1,6009,89
Chain2,6027,127
Chain1,6083,83
Chain4,6104,104
Chain3,6112,192
Chain2,6144,144
Chain1,6160,80
Chain2,6215,115
Chain4,6218,98
Chain1,6234,74
Chain3,6263,183
Chain2,6302,102
Chain1,6318,78
Chain4,6332,92
Chain1,6396,76
Chain3,6414,174
Chain2,6421,121
Chain4,6424,64
Chain1,6523,123
Chain2,6593,193
Chain1,6616,136
Chain4,6618,138
Chain3,6648,248
Chain1,6696,136
Chain2,6714,214
Chain4,6737,137
Chain1,6780,140
Chain2,6802,202
Chain3,6828,268
Chain1,6844,124
Chain4,6858,138
Chain2,6887,187
Chain1,6921,121
Chain4,6946,106
Chain3,6974,254
Chain2,6981,181
Chain1,6997,117
Chain2,7073,173
Chain1,7089,129
Chain4,7092,132
Chain3,7122,242
Chain2,7160,160
Chain1,7176,136
Chain4,7193,113
Chain1,7233,113
Chain2,7275,175
Chain3,7283,243
Chain1,7300,100
Chain4,7331,131
Chain2,7361,161
Chain1,7394,114
Chain4,7418,98
Chain3,7427,227
Chain2,7455,155
Chain1,7471,111
Chain2,7526,126
Chain1,7542,102
Chain4,7566,126
Chain3,7574,214
Chain1,7623,103
Chain2,7640,140
Chain4,7643,83
Chain1,7689,89
Chain3,7715,195
Chain2,7757,157
Chain1,7773,93
Chain4,7787,107
Chain2,7852,152
Chain1,7868,108
Chain3,7876,196
Chain4,7897,97
Chain2,7908,108
Chain1,7924,84
Chain1,8010,90
Chain4,8012,92
Chain3,8020,180
Chain2,8027,127
Chain1,8127,127
Chain2,8196,196
Chain4,8198,158
Chain1,8236,156
Chain1,8270,110
Chain4,8305,145
Chain3,8313,313
Chain2,8322,222
Chain1,8394,154
Chain3,8406,246
Chain2,8413,213
Chain4,8415,135
Chain1,8450,130
Chain2,8501,201
Chain1,8524,124
Chain4,8549,149
Chain3,8577,257
Chain2,8594,194
Chain1,8611,131
Chain4,8645,125
Chain2,8679,179
Chain1,8695,135
Chain3,8736,256
Chain1,8752,112
Chain4,8766,126
Chain2,8796,196
Chain1,8847,127
Chain4,8849,89
Chain3,8882,242
Chain2,8889,189
Chain1,8905,105
Chain2,8975,175
Chain1,8998,118
Chain4,9000,120
Chain3,9030,230
Chain2,9068,168
Chain1,9084,124
Chain4,9119,119
Chain2,9153,153
Chain1,9169,129
Chain3,9191,231
Chain1,9226,106
Chain4,9240,120
Chain2,9269,169
Chain1,9292,92
Chain3,9329,209
Chain4,9336,96
Chain2,9363,163
Chain1,9379,99
Chain2,9455,155
Chain1,9471,111
Chain4,9474,114
Chain3,9482,202
Chain2,9521,121
Chain1,9537,97
Chain4,9572,92
Chain1,9615,95
Chain2,9622,122
Chain3,9630,190
Chain1,9740,140
Chain4,9795,195
Chain2,9812,212
Chain1,9839,159
Chain4,9860,140
Chain1,9897,137
Chain3,9916,316
Chain2,9935,235
Chain1,9997,157
Chain4,10000,160
Chain2,10010,210
Chain3,10047,287
Chain1,10063,143
Chain2,10104,204
Chain4,10107,147
Chain1,10123,123
Chain2,10190,190
Chain1,10206,126
Chain4,10220,140
Chain3,10230,310
Chain1,10302,142
Chain2,10313,213
Chain4,10334,134
Chain3,10342,262
Chain1,10378,138
Chain2,10409,209
Chain1,10450,130
Chain4,10453,133
Chain2,10484,184
Chain3,10492,252
Chain1,10519,119
Chain4,10553,113
Chain2,10580,180
Chain1,10603,123
Chain3,10644,244
Chain2,10671,171
Chain1,10687,127
Chain4,10701,141
Chain1,10776,136
Chain2,10787,187
Chain4,10789,109
Chain3,10797,237
Chain1,10832,112
Chain2,10883,183
Chain1,10906,106
Chain4,10926,126
Chain3,10939,219
Chain2,10976,176
Chain1,10993,113
Chain4,11024,104
Chain2,11061,161
Chain1,11077,117
Chain3,11118,238
Chain2,11124,124
Chain1,11141,101
Chain4,11154,114
Chain1,11229,109
Chain3,11237,197
Chain2,11327,227
Chain4,11329,169
Chain1,11346,146
Chain2,11419,219
Chain1,11442,162
Chain4,11445,165
Chain1,11510,150
Chain3,11529,329
Chain2,11538,238
Chain4,11559,159
Chain1,11617,177
Chain2,11624,224
Chain1,11658,138
Chain3,11666,306
Chain4,11680,160
Chain2,11720,220
Chain1,11743,143
Chain4,11788,148
Chain3,11796,276
Chain1,11813,133
Chain2,11843,243
Chain1,11905,145
Chain4,11908,148
Chain2,11918,218
Chain3,11955,275
Chain1,11992,152
Chain2,12012,212
Chain4,12015,135
Chain1,12091,171
Chain2,12098,198
Chain1,12114,114
Chain4,12146,146
Chain3,12154,314
Chain2,12194,194
Chain1,12217,137
Chain4,12242,122
Chain3,12250,250
Chain2,12277,177
Chain1,12293,133
Chain1,12379,139
Chain4,12381,141
Chain2,12392,192
Chain3,12429,269
Chain1,12445,125
Chain2,12486,186
Chain4,12488,128
Chain1,12511,111
Chain3,12552,232
Chain2,12579,179
Chain1,12596,116
Chain4,12609,129
Chain2,12674,174
Chain1,12690,130
Chain4,12715,115
Chain3,12723,243
Chain2,12751,151
Chain1,12767,127
Chain1,12832,112
Chain4,12834,114
Chain2,12924,224
Chain3,12932,292
Chain1,12949,149
Chain2,13032,232
Chain4,13035,195
Chain1,13058,178
Chain1,13113,153
Chain4,13127,167
Chain3,13137,337
Chain2,13144,244
Chain1,13220,180
Chain2,13227,227
Chain4,13229,149
Chain1,13264,144
Chain3,13316,356
Chain2,13323,223
Chain1,13346,146
Chain4,13371,171
Chain3,13410,290
Chain2,13419,219
Chain1,13435,155
Chain4,13467,147
Chain1,13504,144
Chain2,13532,232
Chain1,13587,147
Chain4,13601,161
Chain3,13611,331
Chain2,13618,218
Chain1,13671,151
Chain2,13701,201
Chain4,13703,143
Chain3,13711,271
Chain1,13728,128
Chain2,13797,197
Chain1,13813,133
Chain4,13816,136
Chain1,13892,132
Chain3,13911,311
Chain2,13920,220
Chain4,13941,141
Chain1,13985,145
Chain2,14006,206
Chain3,14032,272
Chain1,14048,128
Chain4,14062,142
Chain2,14092,192
Chain1,14125,125
Chain4,14150,110
Chain3,14178,258
Chain2,14185,185
Chain1,14201,121
Chain2,14277,177
Chain1,14294,134
Chain4,14296,136
Chain3,14326,246
Chain1,14353,113
Chain2,14391,191
Chain4,14397,117
Chain1,14438,118
Chain3,14539,299
Chain2,14546,246
Chain1,14562,162
Chain4,14617,217
Chain2,14638,238
Chain1,14661,181
Chain4,14703,183
Chain1,14719,159
Chain3,14751,351
Chain2,14757,257
Chain1,14823,183
Chain4,14826,186
Chain2,14843,243
Chain1,14877,157
Chain3,14919,359
Chain4,14922,162
Chain2,14929,229
Chain1,14966,166
Chain1,15021,141
Chain4,15035,155
Chain3,15043,323
Chain2,15052,252
Chain1,15128,168
Chain2,15135,235
Chain4,15156,156
Chain3,15185,305
Chain1,15201,161
Chain2,15231,231
Chain1,15297,177
Chain4,15300,180
Chain2,15317,217
Chain1,15333,133
Chain3,15373,333
Chain4,15375,135
Chain2,15403,203
Chain1,15440,160
Chain1,15495,135
Chain4,15509,149
Chain3,15517,317
Chain2,15526,226
Chain1,15598,158
Chain2,15609,209
Chain4,15612,132
Chain3,15638,278
Chain1,15654,134
Chain2,15705,205
Chain1,15728,128
Chain4,15753,153
Chain3,15782,262
Chain2,15799,199
Chain1,15815,135
Chain4,15849,129
Chain2,15898,198
Chain1,15914,154
Chain3,15940,260
Chain1,15956,116
Chain4,15970,130
Chain2,16000,200
Chain1,16051,131
Chain4,16054,94
Chain3,16145,305
Chain2,16152,252
Chain1,16168,168
Chain2,16241,241
Chain1,16264,184
Chain4,16267,187
Chain1,16332,172
Chain3,16354,354
Chain4,16374,174
Chain2,16402,302
Chain1,16439,199
Chain2,16446,246
Chain1,16503,183
Chain4,16517,197
Chain3,16525,365
Chain2,16542,242
Chain1,16558,158
Chain4,16611,171
Chain2,16630,230
Chain1,16646,166
Chain3,16704,384
Chain1,16720,160
Chain4,16723,163
Chain2,16741,241
Chain1,16808,168
Chain3,16828,348
Chain2,16834,234
Chain4,16837,157
Chain1,16871,151
Chain2,16920,220
Chain1,16936,136
Chain4,16970,170
Chain3,16999,359
Chain2,17016,216
Chain1,17032,152
Chain4,17064,144
Chain1,17101,141
Chain3,17133,333
Chain2,17139,239
Chain1,17201,161
Chain4,17204,164
Chain2,17215,215
Chain3,17251,291
Chain1,17290,170
Chain2,17308,208
Chain4,17311,151
Chain1,17327,127
Chain2,17394,194
Chain1,17410,130
Chain4,17424,144
Chain3,17452,332
Chain2,17501,201
Chain1,17517,157
Chain4,17538,138
Chain3,17546,266
Chain1,17562,122
Chain2,17613,213
Chain1,17654,134
Chain4,17657,137
Chain3,17748,308
Chain2,17755,255
Chain1,17781,181
Chain4,17836,196
Chain2,17857,257
Chain1,17901,221
Chain1,17935,175
Chain4,17949,189
Chain3,17988,388
Chain2,18015,315
Chain1,18042,202
Chain2,18049,249
Chain4,18052,172
Chain1,18119,199
Chain3,18139,379
Chain2,18145,245
Chain1,18161,161
Chain4,18186,186
Chain2,18233,233
Chain1,18249,169
Chain4,18302,182
Chain3,18310,390
Chain1,18326,166
Chain2,18354,254
Chain1,18411,171
Chain4,18425,185
Chain3,18433,353
Chain2,18450,250
Chain1,18484,164
Chain4,18519,159
Chain2,18526,226
Chain1,18554,154
Chain3,18612,372
Chain1,18628,148
Chain4,18631,151
Chain2,18642,242
Chain1,18714,154
Chain2,18734,234
Chain4,18755,155
Chain3,18763,363
Chain1,18821,181
Chain2,18828,228
Chain1,18862,142
Chain4,18876,156
Chain3,18907,347
Chain2,18924,224
Chain1,18947,147
Chain4,18993,153
Chain3,19001,281
Chain2,19020,220
Chain1,19036,156
Chain1,19082,122
Chain4,19105,145
Chain2,19122,222
Chain1,19188,148
Chain3,19207,327
Chain2,19216,216
Chain4,19219,139
Chain1,19353,233
Chain2,19360,260
Chain3,19368,328
Chain1,19384,184
Chain4,19449,249
Chain2,19481,281
Chain1,19504,224
Chain4,19525,205
Chain1,19553,193
Chain3,19591,391
Chain2,19622,322
Chain1,19638,198
Chain4,19641,201
Chain2,19665,265
Chain1,19722,202
Chain4,19736,176
Chain3,19744,384
Chain2,19765,265
Chain1,19781,181
Chain1,19843,163
Chain4,19857,177
Chain2,19866,266
Chain3,19923,403
Chain1,19950,190
Chain2,19957,257
Chain4,19998,198
Chain1,20027,187
Chain3,20046,366
Chain2,20053,253
Chain1,20087,167
Chain4,20092,172
Chain2,20139,239
Chain1,20157,157
Chain3,20215,375
Chain4,20218,178
Chain1,20234,154
Chain2,20255,255
Chain1,20317,157
Chain4,20331,171
Chain2,20340,240
Chain3,20376,376
Chain1,20424,184
Chain2,20431,231
Chain4,20433,153
Chain1,20468,148
Chain3,20520,360
Chain2,20527,227
Chain1,20550,150
Chain4,20595,195
Chain3,20614,294
Chain1,20630,150
Chain2,20639,239
Chain4,20671,151
Chain1,20708,148
Chain2,20736,236
Chain1,20791,151
Chain4,20804,164
Chain3,20815,335
Chain2,20822,222
Chain1,20956,236
Chain2,20963,263
Chain4,20966,206
Chain1,20982,182
Chain3,21052,412
Chain2,21063,263
Chain1,21117,237
Chain4,21120,240
Chain1,21157,197
Chain4,21188,188
Chain3,21196,396
Chain2,21238,338
Chain1,21254,214
Chain2,21268,268
Chain1,21325,205
Chain4,21339,219
Chain3,21357,397
Chain2,21368,268
Chain1,21385,185
Chain4,21433,193
Chain1,21449,169
Chain2,21500,300
Chain3,21526,406
Chain1,21553,193
Chain4,21556,196
Chain2,21612,312
Chain1,21631,191
Chain3,21650,370
Chain2,21656,256
Chain4,21659,179
Chain1,21729,209
Chain2,21742,242
Chain1,21758,158
Chain4,21813,213
Chain3,21831,391
Chain2,21842,242
Chain1,21859,179
Chain4,21907,187
Chain1,21923,163
Chain3,21955,355
Chain2,21961,261
Chain1,22027,187
Chain4,22030,190
Chain2,22047,247
Chain1,22081,161
Chain3,22124,364
Chain4,22126,166
Chain2,22133,233
Chain1,22152,152
Chain1,22225,145
Chain4,22239,159
Chain2,22248,248
Chain3,22305,385
Chain1,22328,168
Chain2,22339,239
Chain4,22360,160
Chain3,22388,308
Chain1,22417,177
Chain2,22435,235
Chain1,22469,149
Chain4,22472,152
Chain2,22579,279
Chain1,22595,195
Chain3,22670,430
Chain4,22673,233
Chain2,22700,300
Chain1,22716,236
Chain1,22760,200
Chain4,22773,213
Chain3,22835,435
Chain2,22841,341
Chain1,22858,218
Chain2,22871,271
Chain4,22874,194
Chain1,22941,221
Chain3,22961,401
Chain1,22977,177
Chain4,23002,202
Chain2,23039,339
Chain2,23055,255
Chain1,23071,191
Chain4,23124,204
Chain3,23146,426
Chain1,23163,203
Chain2,23217,317
Chain1,23233,193
Chain4,23247,207
Chain3,23266,386
Chain2,23272,272
Chain1,23331,211
Chain4,23341,181
Chain2,23360,260
Chain1,23376,176
Chain3,23434,394
Chain1,23450,170
Chain4,23453,173
Chain2,23464,264
Chain1,23538,178
Chain2,23556,256
Chain4,23598,198
Chain3,23606,406
Chain1,23622,182
Chain2,23650,250
Chain1,23707,187
Chain4,23721,201
Chain3,23739,379
Chain2,23746,246
Chain1,23762,162
Chain4,23814,174
Chain2,23834,234
Chain1,23850,170
Chain3,23908,388
Chain1,23924,164
Chain4,23927,167
Chain2,23945,245
Chain1,24012,172
Chain3,24031,351
Chain2,24038,238
Chain4,24041,161
Chain1,24075,155
Chain2,24182,282
Chain1,24198,198
Chain4,24263,263
Chain3,24275,435
Chain2,24303,303
Chain1,24319,239
Chain4,24359,239
Chain1,24375,215
Chain3,24437,437
Chain2,24444,344
Chain1,24460,220
Chain4,24463,223
Chain2,24510,310
Chain1,24544,224
Chain4,24558,198
Chain3,24566,406
Chain1,24582,182
Chain2,24642,342
Chain1,24667,187
Chain4,24681,201
Chain2,24719,319
Chain3,24749,429
Chain1,24765,205
Chain4,24813,213
Chain2,24833,333
Chain1,24849,209
Chain3,24868,388
Chain2,24875,275
Chain1,24934,214
Chain4,24937,217
Chain2,24963,263
Chain1,24979,179
Chain4,25032,192
Chain3,25040,400
Chain1,25056,176
Chain2,25077,277
Chain1,25141,181
Chain4,25155,195
Chain2,25172,272
Chain3,25223,423
Chain1,25239,199
Chain4,25248,168
Chain2,25255,255
Chain1,25323,203
Chain3,25342,382
Chain2,25349,249
Chain1,25365,165
Chain4,25390,190
Chain2,25437,237
Chain1,25453,173
Chain4,25505,185
Chain3,25513,393
Chain1,25530,170
Chain2,25557,257
Chain1,25615,175
Chain4,25629,189
Chain3,25637,357
Chain2,25654,254
Chain1,25688,168
Chain4,25781,221
Chain2,25787,287
Chain1,25816,216
Chain3,25878,438
Chain1,25894,214
Chain4,25897,217
Chain2,25935,335
Chain1,25978,218
Chain4,26031,231
Chain2,26052,352
Chain1,26068,228
Chain3,26076,476
Chain2,26113,313
Chain1,26147,227
Chain4,26161,241
Chain3,26183,423
Chain1,26199,199
Chain2,26245,345
Chain4,26257,217
Chain1,26283,203
Chain2,26322,322
Chain3,26352,432
Chain1,26368,208
Chain4,26371,211
Chain2,26436,336
Chain1,26452,212
Chain4,26466,186
Chain3,26474,394
Chain2,26516,316
Chain1,26550,230
Chain1,26573,173
Chain4,26607,207
Chain2,26645,345
Chain3,26653,413
Chain2,26664,264
Chain1,26680,200
Chain4,26728,208
Chain1,26757,197
Chain3,26815,415
Chain2,26826,326
Chain1,26842,202
Chain4,26845,205
Chain2,26868,268
Chain1,26926,206
Chain4,26940,180
Chain3,26948,388
Chain2,26969,269
Chain1,26985,185
Chain1,27047,167
Chain4,27060,180
Chain2,27101,301
Chain3,27127,407
Chain1,27154,194
Chain4,27174,174
Chain2,27202,302
Chain1,27231,191
Chain3,27250,370
Chain2,27257,257
Chain1,27374,254
Chain4,27377,257
Chain2,27400,300
Chain1,27417,217
Chain4,27486,246
Chain3,27494,454
Chain2,27522,322
Chain1,27538,258
Chain1,27581,221
Chain4,27595,235
Chain1,27664,224
Chain3,27672,472
Chain2,27679,379
Chain4,27688,208
Chain2,27729,329
Chain1,27763,243
Chain3,27786,426
Chain1,27802,202
Chain4,27844,244
Chain2,27861,361
Chain1,27886,206
Chain2,27925,325
Chain4,27960,240
Chain1,27976,216
Chain3,27984,464
Chain2,28039,339
Chain1,28055,215
Chain4,28069,229
Chain3,28087,407
Chain2,28119,319
Chain1,28153,233
Chain4,28162,202
Chain1,28191,191
Chain2,28248,348
Chain3,28256,416
Chain1,28276,196
Chain4,28279,199
Chain2,28317,317
Chain1,28360,200
Chain4,28392,192
Chain2,28434,334
Chain1,28450,210
Chain3,28458,458
Chain2,28471,271
Chain1,28529,209
Chain4,28542,222
Chain3,28561,401
Chain2,28572,272
Chain1,28588,188
Chain4,28636,196
Chain1,28655,175
Chain2,28703,303
Chain3,28729,409
Chain1,28746,186
Chain4,28753,193
Chain2,28817,317
Chain1,28834,194
Chain3,28853,373
Chain2,28859,259
Chain4,28862,182
Chain1,28990,270
Chain2,29003,303
Chain1,29019,219
Chain4,29089,289
Chain3,29097,457
Chain1,29134,254
Chain2,29141,341
Chain4,29181,261
Chain1,29197,237
Chain2,29258,358
Chain1,29274,234
Chain4,29277,237
Chain3,29295,495
Chain2,29331,331
Chain1,29366,246
Chain4,29379,219
Chain1,29410,210
Chain3,29457,497
Chain2,29464,364
Chain1,29489,209
Chain4,29503,223
Chain2,29540,340
Chain1,29579,219
Chain3,29587,467
Chain4,29648,248
Chain2,29654,354
Chain1,29671,231
Chain3,29690,410
Chain2,29739,339
Chain1,29756,236
Chain4,29758,238
Chain2,29805,305
Chain1,29821,221
Chain4,29853,213
Chain1,29884,204
Chain3,29892,452
Chain2,29937,337
Chain1,29963,203
Chain4,29977,217
Chain2,30014,314
Chain1,30053,213
Chain3,30061,461
Chain4,30070,190
Chain2,30128,328
Chain1,30144,224
Chain3,30164,404
Chain2,30175,275
Chain1,30191,191
Chain4,30232,232
Chain1,30268,188
Chain2,30306,306
Chain4,30327,207
Chain3,30350,430
Chain1,30366,206
Chain2,30420,320
Chain1,30436,196
Chain4,30450,210
Chain3,30469,389
Chain2,30475,275
Chain1,30593,273
Chain4,30602,242
Chain2,30622,322
Chain1,30638,238
Chain3,30700,460
Chain1,30747,267
Chain4,30750,270
Chain2,30759,359
Chain1,30800,240
Chain4,30852,252
Chain1,30883,243
Chain2,30890,390
Chain3,30898,498
Chain2,30935,335
Chain1,30979,259
Chain4,30993,273
Chain1,31013,213
Chain3,31060,500
Chain2,31067,367
Chain4,31069,229
Chain1,31105,225
Chain2,31144,344
Chain1,31182,222
Chain4,31185,225
Chain3,31203,483
Chain2,31258,358
Chain1,31274,234
Chain4,31288,208
Chain3,31349,469
Chain2,31355,355
Chain1,31372,252
Chain1,31397,197
Chain4,31450,250
Chain2,31467,367
Chain1,31487,207
Chain3,31495,455
Chain2,31522,322
Chain4,31563,243
Chain1,31579,219
Chain2,31639,339
Chain1,31656,216
Chain4,31658,218
Chain3,31666,466
Chain2,31713,313
Chain1,31747,227
Chain4,31761,201
Chain3,31784,424
Chain1,31800,200
Chain2,31845,345
Chain1,31871,191
Chain4,31885,205
Chain2,31922,322
Chain3,31953,433
Chain1,31969,209
Chain4,32017,217
Chain2,32036,336
Chain1,32053,213
Chain3,32072,392
Chain2,32078,278
Chain1,32196,276
Chain4,32199,279
Chain2,32225,325
Chain1,32241,241
Chain4,32308,268
Chain3,32337,497
Chain1,32353,273
Chain2,32362,362
Chain1,32413,253
Chain4,32427,267
Chain1,32486,246
Chain2,32493,393
Chain4,32496,216
Chain3,32504,504
Chain2,32568,368
Chain1,32585,265
Chain1,32637,237
Chain4,32668,268
Chain3,32676,516
Chain2,32685,385
Chain1,32708,228
Chain2,32779,379
Chain4,32782,262
Chain1,32798,238
Chain3,32806,486
Chain2,32842,342
Chain1,32877,237
Chain4,32901,261
Chain3,32952,472
Chain1,32968,248
Chain2,32975,375
Chain4,32997,237
Chain1,33013,213
Chain2,33069,369
Chain1,33090,210
Chain4,33093,213
Chain3,33101,461
Chain2,33159,359
Chain1,33182,222
Chain4,33237,237
Chain2,33255,355
Chain1,33272,232
Chain3,33280,480
Chain2,33316,316
Chain1,33350,230
Chain4,33364,244
Chain3,33387,427
Chain1,33403,203
Chain2,33448,348
Chain4,33470,230
Chain1,33487,207
Chain2,33525,325
Chain1,33564,204
Chain3,33572,452
Chain4,33574,214
Chain2,33639,339
Chain1,33655,215
Chain4,33669,189
Chain3,33677,397
Chain2,33778,378
Chain1,33812,292
Chain1,33835,235
Chain4,33900,300
Chain2,33911,411
Chain3,33940,500
Chain2,33959,359
Chain1,33975,295
Chain4,34003,283
Chain1,34019,259
Chain1,34089,249
Chain4,34092,252
Chain3,34110,510
Chain2,34117,417
Chain2,34171,371
Chain1,34188,268
Chain4,34216,256
Chain1,34253,253
Chain2,34278,378
Chain3,34288,528
Chain1,34311,231
Chain4,34356,276
Chain2,34385,385
Chain1,34401,241
Chain3,34409,489
Chain4,34470,270
Chain2,34476,376
Chain1,34493,253
Chain2,34564,364
Chain1,34580,260
Chain4,34583,263
Chain3,34591,511
Chain1,34637,237
Chain2,34672,372
Chain4,34675,235
Chain1,34706,226
Chain3,34753,513
Chain2,34762,362
Chain1,34785,225
Chain4,34799,239
Chain2,34840,340
Chain1,34875,235
Chain3,34883,483
Chain4,34892,212
Chain1,34960,240
Chain2,34978,378
Chain3,34990,430
Chain1,35006,206
Chain4,35047,247
Chain2,35064,364
Chain1,35090,210
Chain2,35128,328
Chain4,35163,243
Chain1,35180,220
Chain3,35188,468
Chain2,35242,342
Chain1,35258,218
Chain4,35272,232
Chain3,35291,411
Chain2,35381,381
Chain1,35415,295
Chain4,35424,264
Chain1,35453,253
Chain2,35514,414
Chain3,35553,513
Chain1,35569,289
Chain4,35572,292
Chain2,35581,381
Chain1,35643,283
Chain4,35689,289
Chain1,35705,265
Chain2,35712,412
Chain3,35761,561
Chain2,35785,385
Chain1,35801,281
Chain4,35815,295
Chain2,35846,346
Chain1,35863,263
Chain4,35886,246
Chain3,35904,544
Chain1,35948,268
Chain2,35988,388
Chain1,36004,244
Chain4,36017,257
Chain3,36066,546
Chain2,36080,380
Chain1,36096,256
Chain4,36145,265
Chain2,36170,370
Chain1,36186,266
Chain3,36194,514
Chain1,36240,240
Chain4,36282,282
Chain2,36293,393
Chain1,36309,229
Chain3,36356,516
Chain2,36375,375
Chain4,36378,258
Chain1,36401,241
Chain2,36443,343
Chain1,36478,238
Chain4,36480,240
Chain3,36499,499
Chain1,36563,243
Chain2,36581,381
Chain4,36583,223
Chain1,36614,214
Chain3,36661,501
Chain2,36667,367
Chain1,36693,213
Chain4,36707,227
Chain2,36767,367
Chain1,36783,223
Chain3,36791,471
Chain4,36852,252
Chain2,36858,358
Chain1,36875,235
Chain3,36995,515
Chain2,37002,402
Chain1,37018,298
Chain4,37021,301
Chain2,37067,367
Chain1,37084,284
Chain4,37151,311
Chain1,37167,287
Chain3,37175,535
Chain2,37233,433
Chain1,37256,296
Chain4,37270,310
Chain2,37299,399
Chain1,37315,275
Chain4,37318,238
Chain3,37377,577
Chain1,37400,280
Chain2,37422,422
Chain1,37459,259
Chain4,37490,290
Chain2,37499,399
Chain3,37507,547
Chain1,37551,271
Chain2,37601,401
Chain4,37604,284
Chain1,37620,260
Chain3,37669,549
Chain2,37693,393
Chain1,37709,269
Chain4,37723,283
Chain2,37773,373
Chain1,37789,269
Chain4,37792,232
Chain3,37812,532
Chain1,37856,256
Chain2,37896,396
Chain1,37912,232
Chain4,37915,235
Chain3,37972,532
Chain2,37981,381
Chain1,38004,244
Chain4,38071,271
Chain2,38078,378
Chain1,38094,254
Chain3,38102,502
