Chain,RecordTime,Delay
Chain3,8931,291
Chain1,8953,153
Chain4,8956,196
Chain2,8967,167
Chain1,9028,148
Chain3,9058,258
Chain2,9067,167
Chain4,9087,207
Chain1,9125,165
Chain2,9131,131
Chain3,9159,199
Chain1,9194,154
Chain4,9223,223
Chain2,9229,129
Chain1,9264,144
Chain4,9295,175
Chain3,9318,198
Chain1,9340,140
Chain2,9358,158
Chain1,9426,146
Chain4,9428,188
Chain2,9445,145
Chain3,9453,173
Chain1,9498,138
Chain2,9530,130
Chain4,9541,181
Chain1,9582,142
Chain3,9590,150
Chain2,9596,96
Chain1,9649,129
Chain2,9690,90
Chain4,9755,275
Chain3,9763,163
Chain1,9804,204
Chain2,9873,173
Chain1,9928,248
Chain4,9931,331
Chain3,9949,189
Chain2,9956,156
Chain1,10000,240
Chain4,10029,309
Chain2,10044,144
Chain1,10060,220
Chain3,10121,201
Chain1,10144,224
Chain4,10158,318
Chain2,10167,167
Chain1,10228,228
Chain2,10235,135
Chain3,10253,173
Chain4,10278,318
Chain1,10294,214
Chain2,10332,132
Chain1,10386,226
Chain4,10389,309
Chain3,10397,157
Chain2,10422,122
Chain1,10444,204
Chain4,10489,289
Chain2,10495,95
Chain1,10532,212
Chain3,10579,179
Chain2,10586,86
Chain1,10623,223
Chain4,10637,317
Chain1,10680,200
Chain2,10697,97
Chain3,10726,166
Chain4,10728,288
Chain1,10767,207
Chain2,10784,84
Chain3,10799,79
Chain1,10850,210
Chain4,10871,311
Chain2,10877,77
Chain1,10901,181
Chain4,10973,293
Chain1,10989,189
Chain2,10996,96
Chain3,11020,140
Chain1,11073,193
Chain4,11087,287
Chain2,11093,93
Chain3,11123,83
Chain1,11176,216
Chain2,11182,82
Chain4,11185,265
Chain1,11248,208
Chain2,11304,104
Chain3,11350,150
Chain1,11386,266
Chain4,11401,361
Chain1,11472,272
Chain2,11492,192
Chain4,11533,373
Chain1,11571,291
Chain2,11595,195
Chain3,11618,258
Chain1,11653,293
Chain4,11666,386
Chain2,11673,173
Chain1,11694,254
Chain4,11735,335
Chain1,11758,238
Chain2,11827,227
Chain3,11835,315
Chain1,11855,255
Chain4,11858,338
Chain2,11871,171
Chain1,11936,256
Chain3,11958,278
Chain4,11961,321
Chain2,11967,167
Chain1,12026,266
Chain2,12041,141
Chain1,12066,226
Chain3,12126,286
Chain4,12129,369
Chain1,12155,235
Chain2,12166,166
Chain4,12194,314
Chain1,12230,230
Chain3,12262,262
Chain2,12269,169
Chain1,12316,236
Chain4,12318,318
Chain2,12344,144
Chain3,12352,192
Chain1,12396,236
Chain4,12431,311
Chain2,12438,138
Chain1,12456,216
Chain3,12518,198
Chain1,12534,214
Chain2,12558,158
Chain4,12561,321
Chain1,12624,224
Chain2,12631,131
Chain3,12649,169
Chain4,12674,314
Chain1,12690,210
Chain2,12729,129
Chain3,12774,134
Chain1,12790,230
Chain4,12793,313
Chain2,12800,100
Chain1,12851,211
Chain2,12891,91
Chain4,12958,358
Chain1,12974,254
Chain3,13003,203
Chain1,13071,271
Chain4,13086,366
Chain2,13120,220
Chain1,13171,291
Chain4,13173,333
Chain2,13198,198
Chain3,13221,261
Chain1,13253,293
Chain2,13273,173
Chain1,13293,253
Chain4,13335,375
Chain1,13370,250
Chain2,13427,227
Chain3,13435,315
Chain4,13437,357
Chain1,13468,268
Chain2,13481,181
Chain1,13539,259
Chain4,13552,352
Chain3,13560,280
