Chain,RecordTime,Frequency
Chain3,1522,6.52693
Chain2,1551,10.7232
Chain1,1558,10.9959
Chain4,1585,9.49273
Chain1,1684,10.1418
Chain2,1770,7.51926
Chain4,1776,7.51931
Chain1,1779,9.98499
Chain3,1818,4.78903
Chain2,1857,7.52395
Chain1,1875,9.46957
Chain4,1918,6.78644
Chain2,1944,7.63601
Chain3,1951,5.25849
Chain1,1959,10.9243
Chain1,2005,13.2762
Chain2,2045,10.9167
Chain4,2062,6.27848
Chain1,2100,13.2958
Chain2,2141,10.5386
Chain4,2148,8.0707
Chain3,2151,4.77433
Chain1,2188,13.077
Chain2,2244,9.98094
Chain4,2274,8.43537
Chain3,2276,6.53962
Chain1,2284,10.7413
Chain2,2311,11.2556
Chain1,2329,13.1203
Chain4,2375,9.59504
Chain3,2396,6.73852
Chain1,2404,13.9021
Chain2,2455,9.55404
Chain4,2491,8.73999
Chain1,2494,14.3048
