Chain,RecordTime,Delay
Chain3,1530,90
Chain2,1558,58
Chain1,1574,54
Chain4,1587,27
Chain1,1700,100
Chain2,1776,176
Chain4,1779,99
Chain1,1795,115
Chain3,1826,226
Chain2,1863,163
Chain1,1891,131
Chain4,1921,121
Chain2,1951,151
Chain3,1959,199
Chain1,1975,135
Chain1,2021,101
Chain2,2051,151
Chain4,2065,145
Chain1,2116,116
Chain2,2148,148
Chain4,2151,111
Chain3,2159,239
Chain1,2204,124
Chain2,2251,151
Chain4,2276,116
Chain3,2284,204
Chain1,2301,141
Chain2,2318,118
Chain1,2345,105
Chain4,2378,98
Chain3,2404,164
Chain1,2420,100
Chain2,2462,162
Chain4,2494,94
