Chain,RecordTime,Delay
Chain3,1509,69
Chain2,1556,56
Chain1,1573,53
Chain4,1586,26
Chain1,1619,19
Chain2,1769,169
Chain1,1792,112
Chain4,1795,115
Chain3,1825,225
Chain2,1863,163
Chain1,1879,119
Chain4,1913,113
Chain2,1948,148
Chain1,1964,124
Chain3,1972,212
Chain2,2011,111
Chain1,2027,107
Chain4,2041,121
Chain1,2087,87
Chain3,2123,203
Chain4,2130,90
Chain2,2158,158
Chain1,2174,94
Chain2,2250,150
Chain1,2266,106
Chain4,2269,109
Chain3,2277,197
Chain2,2316,116
Chain1,2332,92
Chain4,2346,66
Chain1,2410,90
Chain3,2418,178
Chain2,2425,125
Chain1,2476,76
