Chain,RecordTime,Frequency
Chain3,1501,6.83643
Chain2,1550,10.7644
Chain1,1556,10.974
Chain4,1583,9.53531
Chain1,1603,13.9307
Chain2,1763,7.75601
Chain1,1776,9.60731
Chain4,1792,7.32216
Chain3,1817,4.77779
Chain2,1856,7.51646
Chain1,1863,9.7863
Chain4,1911,7.15092
Chain2,1941,7.67043
Chain1,1948,8.70881
Chain3,1964,5.03477
Chain2,2004,12.4181
Chain1,2011,12.773
Chain4,2038,6.58807
Chain1,2071,14.4318
Chain3,2115,4.87957
Chain4,2128,8.94806
Chain2,2151,10.1791
Chain1,2158,14.2751
Chain2,2243,9.92248
Chain1,2250,12.5582
Chain4,2266,8.4414
Chain3,2269,6.64388
Chain2,2309,9.83591
Chain1,2316,12.2372
Chain4,2343,9.83541
Chain1,2394,12.7029
Chain3,2410,6.72159
Chain2,2418,11.2327
Chain1,2460,14.2784
